 ,English,Vietnamese,French,
narrator.dialogue.diorama4.03,"The tram network was established at the turn of the century, connecting the city through several lines, including the one running from Hoan Kiem Lake to Đồng Xuân market. The last line will stop running in 1993.","Hệ thống xe điện được đưa vào hoạt động từ đầu thế kỷ 20, với nhiều tuyến kết nối các khu vực trong thành phố, trong đó có tuyến từ hồ Hoàn Kiếm đến chợ Đồng Xuân. Tuyến xe điện cuối cùng ngừng hoạt động vào năm 1993.","Le tramway fut mis en place au début du siècle et reliait la ville avec plusieurs lignes, notamment celles allant du lac Hoan Kiem au marché de Đồng Xuân. La dernière ligne s’arrêtera en 1993.",
narrator.dialogue.diorama4.04,Let's head back to the city.,"Được rồi, giờ cùng nhau quay lại nào.",Retournons voir la ville.,
,,,,
month.January,January,Tháng Một,Janvier,
month.February,February,Tháng Hai,Février,
month.March,March,Tháng Ba,Mars,
month.April,April,Tháng Tư,Avril,
month.May ,May,Tháng Năm,Mai,
month.June,June,Tháng Sáu,Juin,
month.July,July,Tháng Bảy,Juillet,
month.August,August,Tháng Tám,Août,
month.September ,September,Tháng Chín,Septembre,
month.October ,October,Tháng Mười,Octobre,
month.November,November,Tháng Mười Một,Novembre,
month.December,December,Tháng Mười Hai,Décembre,
,,,,
,,,,
Red.River.Title,Red River,Sông Hồng,Fleuve Rouge,
Red.River.DrySeason,Dry season level,Mức nước mùa khô,Niveau saison sèche,
Red.River.SpringRise,Spring rise,Nước dâng mùa xuân,Montée printanière,
Red.River.MonsoonLevel,Normal rainy season level,Mức độ mùa mưa bình thường,Niveau saison des pluies normal,
Red.River.MajorFlood,Major flood,Lũ lớn,Crue importante,
Red.River.ExtremeFlood,Extreme flood,Lũ cực đoan,Crue exceptionnelle,
Red.River.1926Peak,1926 flood peak,Đỉnh lũ năm 1926,Pic de la crue 1926,
,,,,
,,,,
poi.opera,Opera,Nhà hát,Opéra,
,,,,
poi.Presidential.Palace,Palace of the Governor-General of Indochina\n(Presidential Palace)\n1906,Phủ Toàn quyền Đông Dương \n(Phủ Chủ tịch)\n1906,Palais Puginier\n(Palais présidentiel)  \n1906,
poi.One.Pillar.Pagoda,One Pillar Pagoda\n11th century,Chùa Một Cột\nThế kỷ 11,Pagode au pilier unique\nXIe siècle ,
poi.North.Gate,North Gate\n1803,Cửa Bắc\n1803,La porte Nord\n1803,
poi.Hanoi.City.Hall,Hanoi City Hall\n(People's Committee of Hanoï City)\n20th century,Tòa Thị Chính Hà Nội\n(Ủy ban nhân dân thành phố Hà Nội) \nThế kỷ 20,Mairie de Hanoï\n(Commité populaire de Hanoï)\nXXe siècle ,
poi.Water.Tower,Water Tower\n1894,Bốt Hàng Đậu\n1894,Chateau d'eau\n1894,
poi.Temple.of.Literature,Temple of Literature\n1070,Văn Miếu - Quốc Tử Giám\n1070,Temple de la littérature \n1070,
poi.Exhibition.Park,Exhibition Park\n1902,Nhà Đấu xảo\n(Cung Văn hoá Hữu Nghị Hà Nội)\n1902,Parc des expositions\n1902,
poi.Hanoi.Opera.House,Hanoi Opera House\n1910,Nhà hát Lớn Hà Nội\n1910,Opéra de Hanoï\n1910,
poi.Sofitel.Legend.Metropole.Hanoi,Sofitel Legend Metropole Hanoi\n1901,Khách sạn Metropole Hà Nội\n1901,Sofitel Legend Métropole Hanoï\n1901,
poi.Tran.Quoc.Pagoda,Trấn Quốc Pagoda\n6th century,Chùa Trấn Quốc\nThế kỷ 6,Pagode Trấn Quốc \nVIe siècle,
poi.National.Library,Central library of Indochina\n(National Library of Vietnam)\n1917,Thư viện Trung ương Đông Dương\n(Thư viện Quốc gia Việt Nam)\n1917,Bibliothèque Centrale de l’Indochine\n(Bibliothèque nationale du Vietnam)\n1917,
poi.Ngoc.Son.Temple,Ngọc Sơn Temple\n15th century ,Đền Ngọc Sơn\nThế kỷ 15,Temple Ngọc Sơ\nXVe siècle,
poi.Turtle.Tower,Turtle Tower\n1886,Tháp Rùa\n1886,Tour de la Tortue\n1886,
poi.Imperial.Citadel.of.Thang.Long,Imperial Citadel of Thang Long\n1010,Hoàng thành Thăng Long\n1010,Cité impériale de Thang Long\n1010 ,
poi.Quan.Thanh.Temple,Quan Thanh Temple\n11th century,Đền Quán Thánh\nThế kỷ 11,Pagode du grand bouddha\n(Temple Quán Thánh) \nXIe sicèle,
poi.Hoa.Lo.Prison,Hoa Lo Prison\n1901,Nhà tù Hỏa Lò\n1901,Prison Hỏa Lò\n1901,
poi.Saint.Josephs.Cathedral,Saint Joseph's Cathedral\n1886,Nhà thờ lớn Hà Nội\n1886,Cathédrale Saint-Joseph de Hanoï\n1886,
poi.Long.Bien.Bridge,Doumer Bridge\n(Long Bien Bridge)\n1903,Cầu Paul Doumer\n(Cầu Long Biên)\n1903,Pont Paul-Doumer \n(Pont Long Biên)\n1903,
poi.Palace.of.the.Resident.Superior.of.Tonkin,Palace of the Resident Superior of Tonkin\n(Tonkin Palace)\n1919,Dinh Thống sứ Bắc Kỳ\n(Nhà khách Chính Phủ)\n1919,Palais du Résident Supérieur du Tonkin \n(Palais du Tonkin)\n1919,
poi.Indochinese.University,Vietnam National University\n(Hanoi Indochinese University)\n1906 ,Đại học Đông Dương\n(Đại học Quốc Gia Hà Nội)\n1906,Université nationale du Vietnam de Hanoï\n(Université indochinoise)\n1906,
poi.Kim.Ngân.Temple ,Kim Ngân Temple\n16th century,Đình Kim Ngân\nThế kỷ 16,Temple Kim Ngân\nXVIe siècle,
poi.Bach.Ma.Temple ,Bạch Mã Temple\n9th century,Đền Bạch Mã\nThế kỷ 9,Temple Bạch Mã\nIXe siècle\n,
poi.Lycée.Albert.Sarraut,Lycée Albert Sarraut\n(Trần Phú - Hoàn Kiếm High School)\n1919,Trường Albert Sarraut\n(Trường Trung học phổ thông Trần Phú)\n1919,Lycée Albert Sarraut\n(Lycée Trần Phú)\n1919,
poi.Hang.Co.Railway.Station,Hang Co Railway Station\n(Hanoi central station) \n1902,Ga Hàng Cỏ\n(Ga Hà Nội)\n1902,Gare Hàng Co\n(Gare de Hanoï)\n1902,
poi.HanoiCourtHouse,Hanoi Courthouse\n(Supreme People's Court of Vietnam)\n1906,Tòa Án Hà Nội\n(Tòa án nhân dân tối cao Việt Nam)\n1906,Palais de Justice de Hanoï\n(Cour populaire suprême du Vietnam)\n1906,
poi.Police.Headquarters,"
Police Headquarters\n19th century",Công an quận Hoàn Kiếm\nThế kỷ 19,Commissariat du 1er Arrondissement\nXIXe siècle,
poi.Protectorate.College,College of the Protectorate\n(Chu Van An High School)\n1908,Trường Trung học Bảo hộ\n(Trường Trung học phổ thông Chuyên Chu Văn An)\n1908,Lycée du Protectorat\n(Le lycée Chu Van An)\n1908,
poi.Gia.Lam.station,Gia Lâm station\n1902,Ga Gia Lâm\n1902,Gare de Gia Lâm\n1902,
poi.DongXuan.Market,Đồng Xuân Market\n1889,Chợ Đồng Xuân\n1889,Marché Đồng Xuân\n1889,
poi.GirlHighSchool,Girls' High School\n(Ministry of justice)\n20th Century ,Trường nữ học Pháp\n(Bộ Tư pháp)\nThế kỷ 20,Lycée des Jeunes Filles\n(Ministère de la justice)\nXXème ,
poi.Sandbank,Sandbank,Bãi Cát,Banc de Sable,
,,,,
,,,,
,,,,
Image.Legend.GiaLam,"Reconstruction and elevation of the Gia Lâm dyke, Tonkin (1926)","Đắp đê Gia Lâm, Bắc Kỳ (1926)","Renforcement et élévation de la digue de Gia Lâm, Tonkin (1926)",
Image.Legend.NewDyke,"Contemporary view of the Red River dyke, Hanoi (2000s–2010s)","Triền đê sông Hồng thời hiện đại, Hà Nội (Thập niên 2000–2010)","Vue contemporaine de la digue du Fleuve Rouge, Hanoï (Années 2000–2010)",
,,,,
cityversion.narrator.dialogue.01,"Hello, my name is Hoai, I live in Hà Nội. It is 1926.","Xin chào, tôi tên là Hoài, tôi sống ở Hà Nội và chúng ta đang nhìn thành phố vào năm 1926.","Bonjour, je m’appelle Hoai, j’habite Hà Nội. Nous sommes en 1926. ",
cityversion.narrator.dialogue.02,"The Red River Delta was already, at the time, a densely populated region. Its lands made fertile by the river's alluvial deposits were cultivated by many peasants.","Ngay từ những ngày đó, đồng bằng sông Hồng đã là một vùng đất đông dân cư. Họ sống và canh tác trên những cánh đồng được bồi đắp phù sa màu mỡ từ sông Hồng.","Le delta du Fleuve Rouge était déjà, à l'époque, une région densément peuplée. Ses terres rendues fertiles par les alluvions du fleuve Rouge, étaient exploitées par de nombreux paysans.",
cityversion.narrator.dialogue.03,"This is where Hà Nội was built along the banks of the Red River, more than 1,000 years ago.","Chính tại nơi đây, Hà Nội đã được hình thành bên bờ sông Hồng cách đây hơn 1000 năm","C’est ici que Hà Nội s’est construite en bordure du fleuve rouge, il y a plus de 1000 ans.",
cityversion.narrator.dialogue.04,"In 1926, Vietnam was governed by the French colonial authorities, and Hà Nội was the administrative capital. The city had approximately 120,000 inhabitants.","Năm 1926, Việt Nam nằm dưới sự cai quản của chính quyền thực dân Pháp. Khi đó, Hà Nội là trung tâm hành chính của toàn cõi Đông Dương. Thành phố có khoảng 120.000 cư dân.","En 1926, le Vietnam est régi par les autorités coloniales françaises, Hà Nội est alors la capitale administrative. La ville comptait plus ou moins 120 000 habitants. ",
cityversion.narrator.dialogue.05,"Here you can see the Paul Doumer Bridge, inaugurated in 1903. At the time, it was one of the longest bridges in the world and connected the city centre to the eastern bank of the river, the Gia Lâm area.","Đây là cầu Paul Doumer, hay chính là cầu Long Biên ngày nay. Nó được khánh thành vào năm 1903 và là một trong những cây cầu dài nhất thế giới thời đó. Cây cầu kết nối trung tâm thành phố với bờ đông sông Hồng, khu vực Gia Lâm.","Ici tu peux voir le pont Paul-Doumer, inauguré en 1903. Il était à l’époque l’un des ponts les plus longs du monde et reliait le centre-ville à la rive est du fleuve, la zone de Gia Lâm. ",
cityversion.narrator.dialogue.06,This rural area consisted mainly of villages organised around rice paddies.,Vùng nông thôn này chủ yếu bao gồm các làng quê hình thành và phát triển quanh những cánh đồng lúa.,Cette zone rurale était essentiellement constituée de villages organisés autour des rizières. ,
cityversion.narrator.dialogue.07,"This railway line that you see here connected Hà Nội to the north of the country, but also to Yunnan in China.","Tuyến đường sắt mà bạn đang thấy kết nối Hà Nội không chỉ với các tỉnh phía bắc của Tổ quốc mà còn kéo dài lên đến Vân Nam, Trung Quốc.","Cette ligne de chemin de fer que tu vois ici, reliait Hà Nội au nord du pays, mais aussi au Yunnan en Chine.",
cityversion.narrator.dialogue.08,"Now, let us take the time to look at Hà Nội in more detail.","Tiếp theo, chúng ta hãy cùng tìm hiểu Hà Nội một cách chi tiết hơn.","Maintenant, prenons le temps de regarder Hà Nội plus en détail.  ",
cityversion.narrator.dialogue.09,"You can lean down to see the city up close. If you approach certain buildings, information will appear.","Bạn có thể cúi người xuống để quan sát thành phố cụ thể hơn. Nếu bạn tiến lại gần một số công trình và trỏ tay vào chúng, thông tin sẽ được hiện ra.","Tu peux te baisser pour voir de plus près la ville. Si tu t’approches de certains bâtiments, des informations vont apparaître.",
cityversion.narrator.dialogue.10,"You can clearly make out the footprint of the ancient citadel. Some of its ramparts still exist today, such as the Cua Bac gate here.","Có thể dễ dàng nhận thấy dấu ấn của Hoàng thành xưa. Một số đoạn thành và cổng thành vẫn còn tồn tại, như Cửa Bắc mà bạn thấy tại đây.",On distingue bien l’empreinte de l’ancienne citadelle. Certains de ses remparts existent encore comme la porte de Cua bac ici. ,
